model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
openai/gpt-4o-mini,,Macao,Macao,Macao,,2.2783280883838315,1.8576125225422317,-0.36925760898944754,0.8539856021159716,1.6761058997576954
qwen/qwq-32b,,Macao,Macao,Macao,,2.1148398796305057,0.9532276758846344,-0.4364041540100181,0.8539856021159716,1.6761058997576954
anthropic/claude-3.7-sonnet,,Mexico,Mexico,Mexico,,1.215918127092744,1.4921663497706992,-0.8171055292592088,0.5646138333521435,-1.6033009382246461
deepseek/deepseek-chat-v3-0324,,Mexico,Mexico,Mexico,,1.7153334009314785,0.35977272981048997,0.09975772155515994,0.5646138333521435,-1.6033009382246461
google/gemini-2.0-flash-001,,Mexico,Mexico,Mexico,,0.9591320052765919,-0.22703249612945509,-1.0617935120851623,0.5646138333521435,-1.6033009382246461
openai/gpt-4o-mini,,Mexico,Mexico,Mexico,,5.169867914553406,5.584157203710303,-0.36567473980194176,0.5646138333521435,-1.6033009382246461
anthropic/claude-3.7-sonnet,,Morocco,Morocco,Morocco,,0.6935913115693568,-2.031269746736329,-0.585051131076212,-1.4560539336524896,-0.9726019998183655
google/gemini-2.0-flash-001,,Morocco,Morocco,Morocco,,1.015428802668998,-1.7539902156481215,-1.9433386402932236,-1.4560539336524896,-0.9726019998183655
mistralai/mistral-nemo,,Morocco,Morocco,Morocco,,2.4126467577144317,0.6760461358638385,0.15656303288430756,-1.4560539336524896,-0.9726019998183655
openai/gpt-4o-mini,,Morocco,Morocco,Morocco,,1.5523021498976575,-0.1425540287902345,-1.7998625177350227,-1.4560539336524896,-0.9726019998183655
anthropic/claude-3.7-sonnet,,New Zealand,New Zealand,New Zealand,,2.64874366922573,5.268998026880507,2.704891697121624,3.424464347025568,0.8039607333188398
deepseek/deepseek-chat-v3-0324,,New Zealand,New Zealand,New Zealand,,3.6344908835465874,7.011659776319546,0.21953543044802584,3.424464347025568,0.8039607333188398
google/gemini-2.0-flash-001,,New Zealand,New Zealand,New Zealand,,0.6666247626909485,3.8882008881442425,1.2828521559441057,3.424464347025568,0.8039607333188398
meta-llama/llama-3.3-70b-instruct,,New Zealand,New Zealand,New Zealand,,2.627070238341014,5.525005625009333,2.38168833232427,3.424464347025568,0.8039607333188398
mistralai/mistral-nemo,,New Zealand,New Zealand,New Zealand,,3.5786943450118187,6.950885495388561,0.1945289492791473,3.424464347025568,0.8039607333188398
openai/gpt-4o-mini,,New Zealand,New Zealand,New Zealand,,3.8563689610006873,7.2505190296910325,0.32137692855204986,3.424464347025568,0.8039607333188398
qwen/qwq-32b,,New Zealand,New Zealand,New Zealand,,4.581599277006643,7.893824610628942,1.8118648801457964,3.424464347025568,0.8039607333188398
anthropic/claude-3.7-sonnet,,Peru,Peru,Peru,,1.209098523436199,-0.982030533960634,0.0928110009238013,-0.539203659877253,-1.032277261820566
deepseek/deepseek-chat-v3-0324,,Peru,Peru,Peru,,0.48591128324798805,-0.06783419483099928,-0.9142916584203418,-0.539203659877253,-1.032277261820566
google/gemini-2.0-flash-001,,Peru,Peru,Peru,,1.0784527668141177,-1.3054844000469994,-0.27341350758405514,-0.539203659877253,-1.032277261820566
mistralai/mistral-nemo,,Peru,Peru,Peru,,2.9101344828875195,1.7906814506482371,0.7114308789652237,-0.539203659877253,-1.032277261820566
openai/gpt-4o-mini,,Peru,Peru,Peru,,3.9240872578816703,3.361112712145965,-0.6010081977817378,-0.539203659877253,-1.032277261820566
anthropic/claude-3.7-sonnet,,Singapore,Singapore,Singapore,,1.0373698699088065,-0.2794057843463702,0.779045697930178,0.34787888028012376,-0.04718078223070449
deepseek/deepseek-chat-v3-0324,,Singapore,Singapore,Singapore,,0.2780207612477267,0.5974887104914766,-0.1696163830444591,0.34787888028012376,-0.04718078223070449
google/gemini-2.0-flash-001,,Singapore,Singapore,Singapore,,0.43889704634789567,0.14786446146542104,-0.4378530868020979,0.34787888028012376,-0.04718078223070449
meta-llama/llama-3.3-70b-instruct,,Singapore,Singapore,Singapore,,0.4866079159893143,0.17595871918233674,-0.5024067943516888,0.34787888028012376,-0.04718078223070449
openai/gpt-4o-mini,,Singapore,Singapore,Singapore,,2.3585347630804088,2.704548934813044,-0.1409490216647587,0.34787888028012376,-0.04718078223070449
anthropic/claude-3.7-sonnet,,Spain,Spain,Spain,,2.683206164309017,3.774524636387438,2.4573146406331206,1.6694071207181218,0.7935611837146521
deepseek/deepseek-chat-v3-0324,,Spain,Spain,Spain,,2.06756740269577,3.4421654901900203,-0.27047017304015153,1.6694071207181218,0.7935611837146521
